"cell","arm","iteration","model","weight","max_rhat","min_ess_tail"
"ctl","beta",1,"nec3param",0.00605512463577736,1.00130237201015,2040.89570474846
"ctl","beta",1,"nec4param",0.00283859685675112,1.00066012618402,2345.15706217847
"ctl","beta",1,"ecxexp",0.00170467424422288,1.00039211411338,4358.07535307963
"ctl","beta",1,"ecxsigm",0.344198065529573,1.00067289562681,3023.85883827243
"ctl","beta",1,"ecx4param",0.0431798492390106,1.00098712890855,2055.59471527057
"ctl","beta",1,"ecxwb1",0.0688811393142379,1.00094000060632,2960.7621273805
"ctl","beta",1,"ecxwb2",0.032140966996486,1.00125032647479,3390.61423720517
"ctl","beta",1,"ecxwb1p3",0.201857155012036,1.00031979116538,2946.46062264219
"ctl","beta",1,"ecxwb2p3",0.0863765460589175,1.00009800553564,3617.71355196437
"ctl","beta",1,"ecxll4",0.0461553865038134,1.00031591845453,2384.79984320707
"ctl","beta",1,"ecxll3",0.166612495609174,1.00095978178584,1470.84823996383
"ctl","beta",2,"nec3param",0.000703685017084168,1.00277945476689,2019.58305272897
"ctl","beta",2,"nec4param",0.00143964116281659,1.00084428092085,2550.05415781134
"ctl","beta",2,"ecxexp",0.103650712268141,1.00018766300091,3861.25272494381
"ctl","beta",2,"ecxsigm",0.372771795384802,1.00068452112395,2844.34635202265
"ctl","beta",2,"ecx4param",0.0591138717698289,1.0032786262924,2270.59970709135
"ctl","beta",2,"ecxwb2",0.00464620556879365,1.00034575676724,2757.10285365139
"ctl","beta",2,"ecxwb1p3",0.165344988244747,1.00063829725296,2311.7117918666
"ctl","beta",2,"ecxwb2p3",0.16865138396283,1.00074534514283,3079.45691210418
"ctl","beta",2,"ecxll3",0.123677716620956,1.00233856484559,1881.44574122981
"ctl","beta",3,"nec3param",0.0361519664590048,1.00069130285558,3485.39168969975
"ctl","beta",3,"nec4param",0.0238773481021756,1.00159266089758,1508.46340863141
"ctl","beta",3,"ecxexp",0.000100287994818286,1.00038150656487,4224.02213502663
"ctl","beta",3,"ecxsigm",0.39796761065081,1.00025475934708,2734.98132577099
"ctl","beta",3,"ecx4param",0.0354071548568949,1.0002294719226,1853.56737358393
"ctl","beta",3,"ecxwb1",0.0426747434468809,1.00043556448913,2956.76440222522
"ctl","beta",3,"ecxwb2",0.0558790363747178,1.00126494168627,3090.29756439999
"ctl","beta",3,"ecxwb1p3",0.0594417796468354,1.00081922478805,2784.1909973065
"ctl","beta",3,"ecxwb2p3",0.178244080878655,1.00017683945859,3333.23104459898
"ctl","beta",3,"ecxll4",0.0302639695135788,1.00114019305914,1684.36431578992
"ctl","beta",3,"ecxll3",0.139992022075629,1.00039088423023,2084.57834619398
"ctl","beta",4,"nec3param",0.358303842783821,1.00010699198088,3914.78735069548
"ctl","beta",4,"nec4param",0.0932990213464442,1.00091679488875,3182.675634533
"ctl","beta",4,"ecxexp",1.23586313829249e-06,1.00156527966399,3582.98971915371
"ctl","beta",4,"ecxsigm",0.197163861736171,1.00042082371837,3149.50116909764
"ctl","beta",4,"ecx4param",0.012975083008368,1.00115848325892,2229.96197491876
"ctl","beta",4,"ecxwb1",0.0112548685263996,1.00022234835521,2910.27207345912
"ctl","beta",4,"ecxwb2",0.0273587601056624,1.00038580398219,3020.95397113926
"ctl","beta",4,"ecxwb1p3",0.0515057242234524,1.0006740854667,2501.28799518122
"ctl","beta",4,"ecxwb2p3",0.15047273462555,1.00061567710506,3235.38967237326
"ctl","beta",4,"ecxll4",0.0151263545814182,1.00065984266297,3208.54750316893
"ctl","beta",4,"ecxll3",0.0825385131995756,1.00028872943771,2146.77396102885
"ctl","beta",5,"nec3param",0.0461500046529142,1.00134237079745,1632.66532680281
"ctl","beta",5,"nec4param",0.0158082359006814,1.00110709952874,1080.7567580682
"ctl","beta",5,"ecxexp",0.00373996686627596,1.00034868694305,3958.46716845237
"ctl","beta",5,"ecxsigm",0.26523193327235,1.00107345344488,3037.08630614522
"ctl","beta",5,"ecx4param",0.0469833536277897,1.00007049900767,2386.93525438066
"ctl","beta",5,"ecxwb1",0.0628060767543349,1.00030004333344,2845.77719381269
"ctl","beta",5,"ecxwb2",0.0405043910154815,1.00079473260382,2813.20738707609
"ctl","beta",5,"ecxwb1p3",0.189964880855899,1.00047684503395,2579.83492780221
"ctl","beta",5,"ecxwb2p3",0.117956868879405,1.00031225315592,2983.99444816243
"ctl","beta",5,"ecxll5",0.0163570869512953,1.00099353852577,950.759012705167
"ctl","beta",5,"ecxll4",0.036831390372425,1.00128058584082,2500.22888228357
"ctl","beta",5,"ecxll3",0.157665810851148,1.00090514118631,2141.79812303544
"ctl","beta",6,"nec3param",0.00913998231308752,1.00026733415283,1322.715574749
"ctl","beta",6,"nec4param",0.00266441412340577,1.00679955352523,1690.88993694089
"ctl","beta",6,"ecxexp",0.00326281392599891,1.00022317356881,4054.54906106256
"ctl","beta",6,"ecxsigm",0.303535249652938,1.00082945601645,3090.2155026099
"ctl","beta",6,"ecx4param",0.0488568311421481,1.00189094819107,2359.07242879233
"ctl","beta",6,"ecxwb1",0.0714663840390062,1.0003409719245,2977.16026793164
"ctl","beta",6,"ecxwb2",0.0320285441777079,1.00048582560134,2906.62378605184
"ctl","beta",6,"ecxwb1p3",0.177789527787106,1.00041889626476,3130.46692802536
"ctl","beta",6,"ecxwb2p3",0.11866966974237,1.0001261674404,3401.5761014921
"ctl","beta",6,"ecxll4",0.0433216958325857,1.00026194565766,2898.4200770288
"ctl","beta",6,"ecxll3",0.189264887263646,1.00303921070692,2189.15001421736
"ctl","beta",7,"nec3param",0.0391139444397161,1.00021911802782,3554.49029462902
"ctl","beta",7,"nec4param",0.016307433350835,1.00050600655858,3361.50667533047
"ctl","beta",7,"ecxexp",0.0417065488155146,1.00031885932472,4214.14798572066
"ctl","beta",7,"ecxsigm",0.151527287269514,1.00026438896908,3341.77940021118
"ctl","beta",7,"ecx4param",0.0401798277811331,1.00061079670222,2053.66406351056
"ctl","beta",7,"ecxwb1",0.0874270121288588,1.00064594477179,2916.07488001925
"ctl","beta",7,"ecxwb2",0.0235832147670841,1.00015449888082,2022.82954742481
"ctl","beta",7,"ecxwb1p3",0.316014832586062,0.999990639275581,2528.28471238696
"ctl","beta",7,"ecxwb2p3",0.0607349097360893,1.00091896096906,1588.92461367894
"ctl","beta",7,"ecxll4",0.0500259785925494,1.00099311281824,2867.27206392817
"ctl","beta",7,"ecxll3",0.173379010532643,0.999958643012072,2200.28392136781
"ctl","beta",8,"nec3param",0.0303667246037877,1.0011724983515,2174.64933483174
"ctl","beta",8,"nec4param",0.00329419807554717,1.00176011560923,52.9670844328762
"ctl","beta",8,"ecxexp",5.76372412308047e-12,1.0007989903804,3241.46243391701
"ctl","beta",8,"ecxsigm",0.253024242111944,1.00070907605526,2556.50623836211
"ctl","beta",8,"ecx4param",0.0105386727145575,1.0013303243715,2994.61302765929
"ctl","beta",8,"ecxwb1",0.0669774954844416,1.00066050048698,2578.20343926797
"ctl","beta",8,"ecxwb2",0.0406287492026146,1.00074239011258,4037.04631055863
"ctl","beta",8,"ecxwb1p3",0.438888058700074,1.00085350493477,2222.17157022607
"ctl","beta",8,"ecxwb2p3",0.0912281113493044,1.00018936870528,4688.43117418902
"ctl","beta",8,"ecxll4",0.0120511598983984,1.00090360679603,2829.57391588392
"ctl","beta",8,"ecxll3",0.053002587853566,1.00153770685147,3027.71531013894
"ctl","beta",9,"nec3param",0.0261874471256326,1.00172304059728,2962.97005054909
"ctl","beta",9,"nec4param",0.00991417418213958,1.00082249489056,3140.57090947099
"ctl","beta",9,"ecxexp",0.000982955349178692,1.00016823382047,4324.49088786925
"ctl","beta",9,"ecxsigm",0.352900611803823,1.00020356318147,2934.89695891536
"ctl","beta",9,"ecx4param",0.0194568067239862,1.0020613370741,2610.44174512456
"ctl","beta",9,"ecxwb1",0.0409836922532496,1.00086589350594,2220.68594405541
"ctl","beta",9,"ecxwb2",0.0453962712806587,1.00090833983173,3757.90303902173
"ctl","beta",9,"ecxwb1p3",0.27627018915943,1.00039931381729,1836.23013020792
"ctl","beta",9,"ecxwb2p3",0.130784366313496,1.00040572108189,4401.0043482513
"ctl","beta",9,"ecxll4",0.0192548410434158,1.00026601818575,2598.48104884896
"ctl","beta",9,"ecxll3",0.07786864476499,1.00075671070611,2228.92541728291
"ctl","beta",10,"nec3param",0.00486287901594489,1.00079953828958,2560.97706455675
"ctl","beta",10,"nec4param",0.00317031846031619,1.00131341215008,1953.9904246795
"ctl","beta",10,"ecxexp",0.0123975230095154,1.00001998747498,4238.75690741599
"ctl","beta",10,"ecxsigm",0.16736221438996,1.00135267296606,3529.46674416115
"ctl","beta",10,"ecx4param",0.0617410744337616,1.000310984533,2867.83452977597
"ctl","beta",10,"ecxwb1",0.0598919579501695,1.0011098376794,2348.14993958754
"ctl","beta",10,"ecxwb2",0.0348752302957993,1.00019294044861,2101.1533378983
"ctl","beta",10,"ecxwb1p3",0.25370794633051,0.999984373617105,2962.70349328844
"ctl","beta",10,"ecxwb2p3",0.0995248135876059,1.00056700569076,1728.79146344619
"ctl","beta",10,"ecxll4",0.0642643160193079,1.00174730820982,2803.89854247969
"ctl","beta",10,"ecxll3",0.238201726507109,1.00091446431424,2742.37567253686
"ctl","beta",11,"nec3param",0.0147488028608965,1.00035128355294,1694.69807222858
"ctl","beta",11,"nec4param",0.00458772494059742,1.00043655699457,1132.00930104697
"ctl","beta",11,"ecxexp",0.0943960760391314,0.999944825145035,4362.06215310177
"ctl","beta",11,"ecxsigm",0.0720792144848864,1.00139049836844,2513.56118857489
"ctl","beta",11,"ecx4param",0.0489315048494298,1.00098110921966,2248.89045154473
"ctl","beta",11,"ecxwb1",0.116715745354312,1.00111712636314,2856.36411111903
"ctl","beta",11,"ecxwb2",0.0177785129354538,1.00038802611414,1383.90964862775
"ctl","beta",11,"ecxwb1p3",0.327751978556763,1.00107546888391,2790.21072400748
"ctl","beta",11,"ecxwb2p3",0.043383439186801,1.00096223144686,1673.54845582005
"ctl","beta",11,"ecxll3",0.259627000791728,1.00173249380207,2238.57677025835
"ctl","beta",12,"nec3param",0.00668776563439182,0.999948813662468,1917.12427730781
"ctl","beta",12,"nec4param",0.000811014232973892,1.00206032828981,209.703259953489
"ctl","beta",12,"ecxexp",0.0136678307054345,1.00022652831355,3733.41497006156
"ctl","beta",12,"ecxsigm",0.260240998712325,1.00201623989381,3032.58457527047
"ctl","beta",12,"ecx4param",0.0541504117363026,1.00027313343178,2924.7563456005
"ctl","beta",12,"ecxwb2",0.0350935932413499,1.00013319046402,3176.82498856214
"ctl","beta",12,"ecxwb1p3",0.400454487003083,1.00081994524073,2310.05263685867
"ctl","beta",12,"ecxwb2p3",0.0725636386825423,1.00195445564466,3307.98369700073
"ctl","beta",12,"ecxll3",0.156330260051597,1.0008044523033,1864.21220905638
"ctl","beta",13,"nec3param",0.00388168613890204,1.00015588054893,2215.43392620168
"ctl","beta",13,"nec4param",0.00184395250292107,1.00133577561453,2436.21060531837
"ctl","beta",13,"ecxexp",0.00917370660639145,1.00155184002664,3788.04462130914
"ctl","beta",13,"ecxsigm",0.176937274635687,1.00009012342362,2441.57126499941
"ctl","beta",13,"ecx4param",0.0529096098567294,1.0004108897138,2386.31772919753
"ctl","beta",13,"ecxwb1",0.0792386936801354,1.00047735180198,2251.17137291416
"ctl","beta",13,"ecxwb2",0.0303822566611934,1.00060936136396,1894.66485320353
"ctl","beta",13,"ecxwb1p3",0.250817798260587,1.00092163194422,2780.97271403023
"ctl","beta",13,"ecxwb2p3",0.0640175263457009,1.00016277054566,2245.89656361097
"ctl","beta",13,"ecxll4",0.0733870226496427,1.00023675489183,2386.61914874817
"ctl","beta",13,"ecxll3",0.257410472662109,1.00004125695526,2324.39086517916
"ctl","beta",14,"nec3param",0.0479533056665309,1.00323520192521,819.743144131674
"ctl","beta",14,"nec4param",0.012150421877062,1.00815060560853,356.852819943999
"ctl","beta",14,"ecxexp",0.00574321166684979,1.00011969001876,4121.48182736472
"ctl","beta",14,"ecxsigm",0.269473545289882,1.00063754265607,2294.95420846643
"ctl","beta",14,"ecx4param",0.0466657088135997,1.00077998949294,2418.68183283883
"ctl","beta",14,"ecxwb2",0.0366929753125888,1.00040097569903,4161.68605722481
"ctl","beta",14,"ecxwb1p3",0.298600046177005,1.002325626326,2263.31883839889
"ctl","beta",14,"ecxwb2p3",0.132570256063297,1.00023914145668,4179.08165182709
"ctl","beta",14,"ecxll3",0.150150529133185,1.00106086375648,2253.02862721017
"ctl","beta",15,"nec3param",0.00101729869925297,1.00008575725926,3642.91493891636
"ctl","beta",15,"nec4param",0.000518367701807793,1.00252101967046,3402.32188464326
"ctl","beta",15,"ecxexp",0.0230453661543708,1.00088662168014,4084.25663383698
"ctl","beta",15,"ecxsigm",0.0772905658082066,1.00039805094189,2739.54353535291
"ctl","beta",15,"ecx4param",0.0243976680053118,1.00115475728094,3031.69892817546
"ctl","beta",15,"ecxwb1",0.145823428542279,1.00161506403078,2445.10522951717
"ctl","beta",15,"ecxwb2",0.00799311168118929,1.00116134666623,3403.58232115592
"ctl","beta",15,"ecxwb1p3",0.646674579678928,1.00045442939468,2161.11084151415
"ctl","beta",15,"ecxwb2p3",0.0186807006660332,1.00082562955958,4015.44971940659
"ctl","beta",15,"ecxll4",0.01975043519438,1.00201158039794,2594.2935819837
"ctl","beta",15,"ecxll3",0.0348084778682404,1.00276912105052,2194.48477410145
"ctl","beta",16,"nec3param",0.00402076846329432,1.00162100531981,2762.47853002773
"ctl","beta",16,"nec4param",0.00119073461974799,1.00075391856496,1905.55712680824
"ctl","beta",16,"ecxexp",0.0261890383624851,1.00110075814933,4030.54142763734
"ctl","beta",16,"ecxsigm",0.103933276659649,1.00053657347542,2264.98663127203
"ctl","beta",16,"ecx4param",0.0583066916778451,1.00163632658723,2892.51796835063
"ctl","beta",16,"ecxwb1",0.102685105969121,1.0010637270913,3134.06496443334
"ctl","beta",16,"ecxwb2",0.0194891804290246,1.00103260803478,1513.82849717506
"ctl","beta",16,"ecxwb1p3",0.227385855829268,1.0002313739616,3070.93693386004
"ctl","beta",16,"ecxwb2p3",0.0848490209375506,1.00020810192976,1697.04994977901
"ctl","beta",16,"ecxll4",0.0678249737411508,1.00024915080774,2712.98000031958
"ctl","beta",16,"ecxll3",0.304125353310863,1.00009721494921,2036.74079756092
"ctl","beta",17,"nec3param",0.0497458255520993,1.00008715120984,3208.3631062611
"ctl","beta",17,"nec4param",0.0257942437911569,1.00119411002215,1647.71776544873
"ctl","beta",17,"ecxexp",0.000191289253084678,1.00032912641726,4051.3733736851
"ctl","beta",17,"ecxsigm",0.400087797710686,0.999982647987734,2833.69669293664
"ctl","beta",17,"ecx4param",0.0286860535947272,1.00227661936118,2129.36331930914
"ctl","beta",17,"ecxwb1",0.0291585657276205,1.00062536862423,2929.78823969147
"ctl","beta",17,"ecxwb2",0.0442979054334324,1.00055350195809,3921.27618832644
"ctl","beta",17,"ecxwb1p3",0.104022209872317,1.00024808714529,3346.39663965063
"ctl","beta",17,"ecxwb2p3",0.175799290480468,1.00046937727926,3134.22083506102
"ctl","beta",17,"ecxll4",0.020967574058497,1.00025668896003,2423.19308697536
"ctl","beta",17,"ecxll3",0.121249244525911,1.00079244184817,2100.18837418341
"ctl","beta",18,"nec3param",0.201506613987509,1.00209870208925,1753.5702976301
"ctl","beta",18,"nec4param",0.0542278746637241,1.00047766263867,1801.45841695658
"ctl","beta",18,"ecxexp",7.03495847841326e-05,1.00006363698851,3933.70659114199
"ctl","beta",18,"ecxsigm",0.228290249815652,1.0018403508901,2596.22765863726
"ctl","beta",18,"ecx4param",0.0311477540035844,1.00040633313459,2237.64438411264
"ctl","beta",18,"ecxwb1",0.0205332697747402,1.00032324295293,2368.47766089071
"ctl","beta",18,"ecxwb2",0.0505371609643262,1.00192146147679,3456.91009392018
"ctl","beta",18,"ecxwb1p3",0.0647045259923558,1.00129126204903,1957.96758743008
"ctl","beta",18,"ecxwb2p3",0.264464938345479,1.00020919802477,4258.66094989933
"ctl","beta",18,"ecxll4",0.0125984206121639,1.00208440393032,2653.00551279185
"ctl","beta",18,"ecxll3",0.0719188422556815,1.00101765960324,2341.35865449547
"ctl","beta",19,"nec3param",0.147612947293686,1.00044916762344,2490.41883328849
"ctl","beta",19,"nec4param",0.0548906539768845,1.00030084298209,2314.67187581019
"ctl","beta",19,"ecxexp",0.00247709522102953,1.00000445894094,4611.09198601658
"ctl","beta",19,"ecxsigm",0.180846989891489,1.00021555912971,2595.03382133823
"ctl","beta",19,"ecx4param",0.0468861330516177,1.00057917790385,2683.12691956108
"ctl","beta",19,"ecxwb1",0.0308086128116057,1.00068723844177,3114.94389714504
"ctl","beta",19,"ecxwb2",0.0378039435414685,0.999980929626716,1879.78160147691
"ctl","beta",19,"ecxwb1p3",0.0643172534259037,1.00110867536655,3611.09506737595
"ctl","beta",19,"ecxwb2p3",0.162435788959382,1.00016330925422,1892.74376483002
"ctl","beta",19,"ecxll5",0.0208036549531807,1.00433396068183,1201.58285059038
"ctl","beta",19,"ecxll4",0.0485697731481072,1.00106342129247,2533.10612382978
"ctl","beta",19,"ecxll3",0.202547153725645,0.999962016149231,3137.36070084277
"ctl","beta",20,"nec3param",0.00919178545358306,1.00108955883799,2367.41708050281
"ctl","beta",20,"nec4param",0.0138232212569666,1.00024794232567,2687.83563510163
"ctl","beta",20,"ecxexp",0.0249086048682986,1.00000283639116,4224.75911569378
"ctl","beta",20,"ecxsigm",0.165488421648032,1.00048128258919,2949.12875461799
"ctl","beta",20,"ecx4param",0.0359633152218243,1.0002584628656,2757.71860422424
"ctl","beta",20,"ecxwb1",0.0608932578298208,1.00113099725008,2546.79356083774
"ctl","beta",20,"ecxwb2",0.0243970256517454,1.00028374620879,1602.69511903089
"ctl","beta",20,"ecxwb1p3",0.399826965130563,1.00045078195408,2796.70811867711
"ctl","beta",20,"ecxwb2p3",0.0635225153053115,1.00157183255922,1195.27103158268
"ctl","beta",20,"ecxll4",0.0439365853163166,1.00031238520197,2070.07295122244
"ctl","beta",20,"ecxll3",0.158048302317539,1.00120025630993,2407.53728197577
"ctl","beta",21,"nec3param",0.00161690905902524,1.00068067979975,1342.13930040456
"ctl","beta",21,"nec4param",0.000662399990666352,0.999972228993959,2041.92142528585
"ctl","beta",21,"ecxexp",0.0105722963523868,1.00084525259571,4093.06231468286
"ctl","beta",21,"ecxsigm",0.135875574751288,1.00072178430719,2939.7965111432
"ctl","beta",21,"ecx4param",0.0681945080349222,1.00151236187308,2513.66824944944
"ctl","beta",21,"ecxwb1",0.1065683451558,1.00009236381239,2806.63865515434
"ctl","beta",21,"ecxwb2",0.0143785062565639,1.00039188562592,1893.52612383018
"ctl","beta",21,"ecxwb1p3",0.216259766621034,1.00002724943742,3046.96624493911
"ctl","beta",21,"ecxwb2p3",0.0504530792385561,1.00073366983146,2003.80628511678
"ctl","beta",21,"ecxll4",0.0684783830537388,1.00036183291375,2831.5004313476
"ctl","beta",21,"ecxll3",0.326940231486018,1.00009930257982,2488.33988756864
"ctl","beta",22,"nec3param",0.00138448813712845,1.00037306073297,2717.53181223287
"ctl","beta",22,"nec4param",0.00102261406908315,1.00034203842279,3235.91529170406
"ctl","beta",22,"ecxexp",0.0113182191000726,0.999956448648531,4079.5028014189
"ctl","beta",22,"ecxsigm",0.140064697508822,1.00091051947729,2714.75923698753
"ctl","beta",22,"ecx4param",0.0315564564852026,1.00030129131049,2754.08092550841
"ctl","beta",22,"ecxwb1",0.140315554300228,1.0005472043523,2279.79134445739
"ctl","beta",22,"ecxwb2",0.0114296486009615,1.00129400048542,3223.70248791468
"ctl","beta",22,"ecxwb1p3",0.493286970129683,1.00127032949133,2691.12884550125
"ctl","beta",22,"ecxwb2p3",0.0257591065666909,1.00083163670101,2941.15735409111
"ctl","beta",22,"ecxll4",0.0328301739779054,1.00066936179358,2652.62816466171
"ctl","beta",22,"ecxll3",0.111032071124222,1.00049065141442,2634.94618245251
"ctl","beta",23,"nec3param",0.0277505074326081,1.00032200860976,2298.93590254185
"ctl","beta",23,"nec4param",0.0170504942016337,1.00014867761482,2132.95099918771
"ctl","beta",23,"ecxexp",0.00413007353861827,1.00002919752827,3080.08079707567
"ctl","beta",23,"ecxsigm",0.287347830730396,1.00050512884388,2775.19515984658
"ctl","beta",23,"ecx4param",0.0574520042253332,1.00148726351668,2878.7106653859
"ctl","beta",23,"ecxwb1",0.0593815521212264,1.00022078638963,3100.75977509799
"ctl","beta",23,"ecxwb2",0.053688656495392,1.00060962755977,2584.64018060063
"ctl","beta",23,"ecxwb1p3",0.111599816976273,1.00013771058263,3172.74967411452
"ctl","beta",23,"ecxwb2p3",0.150870941323672,1.00020450487948,2395.39097561832
