"cell","arm","iteration","n_models","top_model","top_weight","w_nec4param","w_zero_asymptote"
"ctl","beta",1,11,"ecxsigm",0.344198065529573,0.00283859685675112,0.806804061089701
"ctl","beta",2,9,"ecxsigm",0.372771795384802,0.00143964116281659,0.934800281498561
"ctl","beta",3,11,"ecxsigm",0.39796761065081,0.0238773481021756,0.811897747705752
"ctl","beta",4,11,"nec3param",0.358303842783821,0.0932990213464442,0.839985912431708
"ctl","beta",5,12,"ecxsigm",0.26523193327235,0.0158082359006814,0.780709465377992
"ctl","beta",6,11,"ecxsigm",0.303535249652938,0.00266441412340577,0.801662130685146
"ctl","beta",7,11,"ecxwb1p3",0.316014832586062,0.016307433350835,0.78247653337954
"ctl","beta",8,11,"ecxwb1p3",0.438888058700074,0.00329419807554717,0.866509724624441
"ctl","beta",9,11,"ecxsigm",0.352900611803823,0.00991417418213958,0.86499421451655
"ctl","beta",10,11,"ecxwb1p3",0.25370794633051,0.00317031846031619,0.776057102840646
"ctl","beta",11,10,"ecxwb1p3",0.327751978556763,0.00458772494059742,0.811986511920207
"ctl","beta",12,9,"ecxwb1p3",0.400454487003083,0.000811014232973892,0.909944980789374
"ctl","beta",13,11,"ecxll3",0.257410472662109,0.00184395250292107,0.762238464649378
"ctl","beta",14,9,"ecxwb1p3",0.298600046177005,0.012150421877062,0.90449089399675
"ctl","beta",15,11,"ecxwb1p3",0.646674579678928,0.000518367701807793,0.801516988875032
"ctl","beta",16,11,"ecxll3",0.304125353310863,0.00119073461974799,0.75050331356311
"ctl","beta",17,11,"ecxsigm",0.400087797710686,0.0257942437911569,0.851095657394566
"ctl","beta",18,11,"ecxwb2p3",0.264464938345479,0.0542278746637241,0.830955519981461
"ctl","beta",19,12,"ecxll3",0.202547153725645,0.0548906539768845,0.760237228517136
"ctl","beta",20,11,"ecxwb1p3",0.399826965130563,0.0138232212569666,0.820986594723326
"ctl","beta",21,11,"ecxll3",0.326940231486018,0.000662399990666352,0.741717857508309
"ctl","beta",22,11,"ecxwb1p3",0.493286970129683,0.00102261406908315,0.782845552566619
"ctl","beta",23,11,"ecxsigm",0.287347830730396,0.0170504942016337,0.754494637260603
"ctl","beta",24,11,"ecxwb1p3",0.377839062467031,0.00672439695154335,0.786881370962584
"ctl","beta",25,11,"ecxwb1p3",0.204604721568106,0.00476928902913147,0.679403532309865
"ctl","beta",26,9,"ecxwb2p3",0.230215725568284,0.0199401929837208,0.736479059191705
"ctl","beta",27,11,"nec3param",0.285972583699416,0.110020400291804,0.726997927965047
"ctl","beta",28,10,"ecxwb1p3",0.55339908687314,0.000945298793073354,0.817276841924814
"ctl","beta",29,11,"ecxwb1p3",0.33484911371583,0.000937690993062709,0.764187366805046
"ctl","beta",30,12,"ecxll3",0.258381297810144,0.00481564033794183,0.790592305954891
"ctl","beta",31,11,"ecxwb1p3",0.395212570485865,0.00272893967605106,0.7806030973573
"ctl","beta",32,11,"ecxwb1p3",0.71984226400379,0.000580605703150991,0.832472596507992
"ctl","beta",33,11,"ecxwb1p3",0.273845866115119,0.00196341991606561,0.738138971243246
"ctl","beta",34,12,"ecxwb1p3",0.417194285049722,0.00121413904709171,0.782487401074787
"ctl","beta",35,11,"ecxwb1p3",0.405137483180795,0.00178317921074702,0.796177984326807
"ctl","beta",36,9,"ecxwb1p3",0.297431127495851,0.00296640374130062,0.875485034957649
"ctl","beta",37,12,"ecxwb1p3",0.469653934877496,0.0406602341784115,0.830364618482901
"ctl","beta",38,11,"ecxwb1p3",0.578673730008035,0.000463101365905063,0.791034639461072
"ctl","beta",39,11,"ecxll3",0.22119845039912,0.0199725881569451,0.791480039963443
"ctl","beta",40,11,"ecxwb1p3",0.665662046152571,9.60366352775603e-06,0.765196411137661
"ctl","beta",41,11,"ecxsigm",0.327914654391005,0.0396661607668595,0.783242236959084
"ctl","beta",42,10,"ecxwb1p3",0.457581924360697,0.000371844231627159,0.854490756583234
"ctl","beta",43,12,"ecxsigm",0.312586817043363,0.0194426728436596,0.827234059971596
"ctl","beta",44,12,"ecxwb1p3",0.193891250193933,0.0180252949596907,0.706123169295689
