"dataset","arm","model","weight","max_rhat","min_ess_tail"
"c_proliferum","beta","nec3param",0.0334582552251369,1.00028118012776,3512.93664375484
"c_proliferum","beta","nec4param",0.00961059202389828,1.02048529440603,11.7091841101078
"c_proliferum","beta","ecxexp",0.00243936227381149,1.00008308381877,4334.95962358492
"c_proliferum","beta","ecxsigm",0.00365314604639937,1.00051545136571,3044.98487238012
"c_proliferum","beta","ecx4param",0.117859174534084,1.00021707269635,3424.16561138791
"c_proliferum","beta","ecxwb1",0.590419010701884,1.00107473168831,2118.42714515122
"c_proliferum","beta","ecxwb2",0.0864999059040735,1.00022726110649,3786.22208561096
"c_proliferum","beta","ecxwb1p3",2.37910588337968e-08,1.00017097653486,3672.96376527296
"c_proliferum","beta","ecxwb2p3",0.0107731606581803,1.00023209933155,3228.18305120546
"c_proliferum","beta","ecxll4",0.142939749457906,1.00061041058465,3454.04576602174
"c_proliferum","beta","ecxll3",0.00234761938356722,1.0010596540445,2459.32323153022
"c_proliferum","censored","nec3param",0.00218564501646656,1.00022444011878,2447.63994755914
"c_proliferum","censored","nec4param",0.319377527635663,1.00070489640102,2746.84163298877
"c_proliferum","censored","neclin",0.461338393526135,1.00157699001103,3309.47657892139
"c_proliferum","censored","ecxlin",0.0255516965408725,1.00002706153551,5217.89856383217
"c_proliferum","censored","ecxexp",7.36736124910519e-07,1.00069626994038,3982.84980788872
"c_proliferum","censored","ecxsigm",0.000721309796652919,1.00057072599039,2119.78781948397
"c_proliferum","censored","ecx4param",0.0342968193031591,1.0011728194998,1880.04325584398
"c_proliferum","censored","ecxwb1",0.0286172378966382,1.00255774917141,1371.82634089452
"c_proliferum","censored","ecxwb2",0.0888324994214247,1.00101457946669,2012.89684932834
"c_proliferum","censored","ecxwb2p3",0.00130699275434008,1.00181607448379,4003.45634507772
"c_proliferum","censored","ecxll4",0.0374071483343345,1.00207796890333,2258.09583266609
"c_proliferum","censored","ecxll3",0.000363993038188932,1.00012651857831,3063.87698660145
"c_proliferum","deleted","nec3param",0.327046879212028,1.00084120662498,3319.85026036927
"c_proliferum","deleted","nec4param",0.119695619601914,1.00089366404575,2639.75834266535
"c_proliferum","deleted","neclin",0.288710367609449,1.00028100678826,2475.09337076103
"c_proliferum","deleted","ecxlin",0.00180092623602032,0.99988137667165,4789.06152896725
"c_proliferum","deleted","ecxexp",0.00396997732534863,1.0011289343682,4300.38187817959
"c_proliferum","deleted","ecxsigm",0.0577813266864015,1.00082211299379,2548.82634601398
"c_proliferum","deleted","ecx4param",0.00102796849370076,1.0010165687861,1171.6165584863
"c_proliferum","deleted","ecxwb1",0.000263655641759806,1.0048020617677,316.588181981988
"c_proliferum","deleted","ecxwb2",0.00751215700334804,1.00165392322766,1262.56179676128
"c_proliferum","deleted","ecxwb1p3",0.00698510293160046,1.00032444028514,869.014723980363
"c_proliferum","deleted","ecxwb2p3",0.0885836733391294,1.00031965938033,3771.53988277175
"c_proliferum","deleted","ecxll5",0.0754406570233765,1.00182220970021,765.191990943741
"c_proliferum","deleted","ecxll4",0.000858421523985815,1.0025531260294,1417.88226922107
"c_proliferum","deleted","ecxll3",0.0203232673719384,1.00254652501638,1445.42838735775
"c_proliferum","floored","nec3param",0.0943274674709006,1.00000807610502,2865.81571347651
"c_proliferum","floored","nec4param",0.129712081223439,1.00184702175271,2403.437833015
"c_proliferum","floored","neclin",0.00324863323654201,1.00058142483175,2257.89163533647
"c_proliferum","floored","ecxlin",0.00244420686622478,1.00000182612742,4660.76078284167
"c_proliferum","floored","ecxexp",6.4837553745832e-05,1.00143217048625,4385.89016347423
"c_proliferum","floored","ecxsigm",0.279386869008726,1.0014897525963,2168.70382560676
"c_proliferum","floored","ecx4param",0.0412541026497107,1.00080930307511,2648.38007854608
"c_proliferum","floored","ecxwb1",0.0748589998279033,1.00144486630079,2382.67452927186
"c_proliferum","floored","ecxwb2",0.101301898629378,1.0002984673234,4539.74308558236
"c_proliferum","floored","ecxwb2p3",0.155751565337034,1.00104848682249,4621.06619471495
"c_proliferum","floored","ecxll4",0.0410539487713167,1.00057232605509,3256.20219774051
"c_proliferum","floored","ecxll3",0.076595389425079,1.0002982160609,3317.00186771977
"c_proliferum","gamma","nec3param",0.0393010806056843,1.00041953267947,4082.48060093019
"c_proliferum","gamma","nec4param",0.00243530266459745,1.00050711061818,1475.154803662
"c_proliferum","gamma","ecxexp",0.00502952773623586,1.00007345591693,3809.92703922346
"c_proliferum","gamma","ecxsigm",0.00785801169424258,1.00022446046006,2641.37025282456
"c_proliferum","gamma","ecx4param",0.133191305008375,0.99997961112521,1969.20851863025
"c_proliferum","gamma","ecxwb1",0.514514205005107,1.00083708860654,2571.82940911865
"c_proliferum","gamma","ecxwb2",0.116161828510205,1.00093245992157,777.261229542547
"c_proliferum","gamma","ecxwb1p3",0.0518478768616498,1.00154986423809,1115.98722693074
"c_proliferum","gamma","ecxwb2p3",0.0538153188201681,1.00017656773308,2707.45033386919
"c_proliferum","gamma","ecxll4",0.0425512319639089,1.00054174655829,1321.84697398087
"c_proliferum","gamma","ecxll3",0.0332943111298262,1.00016377827074,2108.85280217567
"c_proliferum","measured","nec3param",1.68191148655291e-19,1.00012120329438,1128.92701364814
"c_proliferum","measured","nec4param",0.0640855419316249,1.00110899132079,586.672577488326
"c_proliferum","measured","neclin",1.88993269537995e-12,1.00011958979786,3507.06706904699
"c_proliferum","measured","ecxlin",2.4590155492269e-08,0.999972717206787,4971.36644242279
"c_proliferum","measured","ecxexp",2.5406275799905e-19,1.00099489760343,2252.787334977
"c_proliferum","measured","ecxsigm",3.2260904704147e-19,1.00259153637582,1441.83395183445
"c_proliferum","measured","ecx4param",0.15091565713792,1.00671562538227,39.111941523136
"c_proliferum","measured","ecxwb1",0.490678687657066,1.00031753287132,892.298868764795
"c_proliferum","measured","ecxwb2",0.0816876516865505,1.00026225616943,2003.63044273592
"c_proliferum","measured","ecxwb1p3",8.10645668705551e-20,1.0020106217567,577.914553642838
"c_proliferum","measured","ecxwb2p3",9.90145512913491e-20,1.00022239159222,842.600596291515
"c_proliferum","measured","ecxll4",0.212632436994793,1.00091298133792,783.300337593683
"c_proliferum","measured","ecxll3",1.49241763190338e-19,1.00093945765864,575.87080024202
"c_proliferum2","beta","nec3param",0.00549529209223617,1.00018293694717,3162.18955865295
"c_proliferum2","beta","nec4param",0.0066208952559197,1.00181216498168,1728.24412151116
"c_proliferum2","beta","ecxexp",7.07483229418631e-13,1.00107142853289,3905.46080365345
"c_proliferum2","beta","ecxsigm",7.15126203213707e-07,1.00051811979781,2902.02451787707
"c_proliferum2","beta","ecx4param",0.269332893210069,1.00010002549574,4331.09159826182
"c_proliferum2","beta","ecxwb1",0.212458605297164,1.00053645801563,3825.63714715919
"c_proliferum2","beta","ecxwb2",0.266592773449333,1.00125524705131,3861.10144120541
"c_proliferum2","beta","ecxwb1p3",2.96818447501354e-10,1.00110161605576,2938.55426099479
"c_proliferum2","beta","ecxwb2p3",0.00355780015183426,1.00050628843796,4612.60865386804
"c_proliferum2","beta","ecxll4",0.235907117512795,0.999924084179514,4574.80748235491
"c_proliferum2","beta","ecxll3",3.39076069205854e-05,1.00003824351699,2284.67631566367
"c_proliferum2","censored","nec3param",1.28570070580182e-08,1.00019745094368,1879.69573301277
"c_proliferum2","censored","nec4param",0.148134064221548,1.00040767396827,2038.92149123326
"c_proliferum2","censored","neclin",0.502653522076315,1.00040410733043,2975.47868777078
"c_proliferum2","censored","ecxlin",5.35660889148415e-13,1.0014472328587,4657.43879499872
"c_proliferum2","censored","ecxexp",1.34858133249765e-24,1.00027511275595,4142.30197198745
"c_proliferum2","censored","ecxsigm",0.000182098149565953,1.00009160024005,3084.38531786131
"c_proliferum2","censored","ecx4param",0.06697984878764,1.00061711374403,2329.10215419018
"c_proliferum2","censored","ecxwb1",0.047489625980172,1.00071153245521,2189.24553411025
"c_proliferum2","censored","ecxwb2",0.145065132972869,1.00094405622615,1645.29709377956
"c_proliferum2","censored","ecxwb1p3",0.00031002872051564,1.00077579460023,3577.67996158944
"c_proliferum2","censored","ecxwb2p3",2.79721785280919e-06,1.0001922337873,4336.37179252303
"c_proliferum2","censored","ecxll5",0.0317400605284798,1.00152856871972,688.374980071922
"c_proliferum2","censored","ecxll4",0.0574023737981996,1.0021222757856,2304.53468772563
"c_proliferum2","censored","ecxll3",4.04346893002336e-05,1.00117418215787,4574.47241253904
"c_proliferum2","deleted","nec3param",0.0598555466153185,1.00045428669289,1505.12440862759
"c_proliferum2","deleted","nec4param",0.0855117765800213,1.0001702268688,1564.91735077955
"c_proliferum2","deleted","neclin",0.334537025556475,1.0005284176045,1525.39265007383
"c_proliferum2","deleted","ecxlin",1.09814209435406e-08,1.00046599555053,4549.25769143262
"c_proliferum2","deleted","ecxexp",2.56011744956158e-12,1.00037510081242,3799.37520327906
"c_proliferum2","deleted","ecxsigm",0.111090523851133,1.0008786223714,2293.68757129912
"c_proliferum2","deleted","ecx4param",0.0246421764453077,1.00003323665864,1224.64426068829
"c_proliferum2","deleted","ecxwb1",0.0298936358178817,1.00001829778112,2285.84053823256
"c_proliferum2","deleted","ecxwb2",0.0660468982998065,1.000900778608,1516.49095396927
