"cell","arm","estimate","truth","n_run","n_used","bias","bias_mcse","rel_bias","rmse","coverage","coverage_mcse","width","delta","top_factor","R","cv_control","disp"
"ctl","beta","ErC10",2.01968716248917,100,100,-0.188024811836901,0.024574914412507,-9.30960078021042,0.308451041959862,0.99,0.0099498743710662,1.40519000451324,4,1,2.3,0.096,"none"
"ctl","censored","ErC10",2.01968716248917,100,100,-0.0296057154242739,0.0245678297312863,-1.46585649372482,0.246233112920714,0.98,0.014,1.26352287234244,4,1,2.3,0.096,"none"
"ctl","deleted","ErC10",2.01968716248917,100,100,-0.0566429984146297,0.0250430837288133,-2.80454317216236,0.255532537050738,0.96,0.0195959179422654,1.26399448197134,4,1,2.3,0.096,"none"
"ctl","floored","ErC10",2.01968716248917,100,100,-0.0391087055750512,0.0245673409213791,-1.93637441983102,0.247550723300369,0.98,0.014,1.2584922106201,4,1,2.3,0.096,"none"
"ctl","gamma","ErC10",2.01968716248917,100,100,0.226458803978349,0.0805952547388564,11.2125683711951,0.833275166709652,0.99,0.0099498743710662,3.12090463998069,4,1,2.3,0.096,"none"
"ctl","measured","ErC10",2.01968716248917,100,100,-0.0287578830939585,0.0244792460376723,-1.42387809498753,0.245257275143394,0.99,0.0099498743710662,1.26148492526111,4,1,2.3,0.096,"none"
"d2","beta","ErC10",2.50768524465496,100,100,-0.0182243720643114,0.0301911663584496,-0.726740810201598,0.3009506169115,1,0,2.15481940448835,2,2,2.3,0.096,"none"
"d2","censored","ErC10",2.50768524465496,100,100,-0.30429796941536,0.054938468491545,-12.1346157801885,0.625621731471792,0.99,0.0099498743710662,1.91652689334325,2,2,2.3,0.096,"none"
"d2","deleted","ErC10",2.50768524465496,100,100,-0.220631379943284,0.0492321451810106,-8.79820864335156,0.537247441696062,0.98,0.014,1.874933724633,2,2,2.3,0.096,"none"
"d2","floored","ErC10",2.50768524465496,100,100,-0.238632426562003,0.0457119180005281,-9.51604381254146,0.513628075837257,0.97,0.017058722109232,1.87325784655535,2,2,2.3,0.096,"none"
"d2","gamma","ErC10",2.50768524465496,100,100,-0.0915223037439943,0.134264016187795,-3.6496726987197,1.33904148939732,0.88,0.0324961536185438,5.02890528144569,2,2,2.3,0.096,"none"
"d2","measured","ErC10",2.50768524465496,100,100,-0.395286032181448,0.0532220511502484,-15.762984330828,0.660815506304958,0.98,0.014,1.83457829055485,2,2,2.3,0.096,"none"
"d8","beta","ErC10",1.69802987177516,100,100,-0.0686044045296348,0.0235168118489676,-4.04023543224916,0.243839225382833,0.99,0.0099498743710662,1.1870672732323,8,2,2.3,0.096,"none"
